trend_ma,threshold,stop_mult,trades,winrate,total,mdd,pf
10,3,2.5,3,0.6666666666666666,0.02680222378239505,0.07922583041479765,2.4327866881364377
10,4,2.5,3,0.3333333333333333,-0.0017271623051076102,0.07295430514787765,0.927650123596182
10,5,2.5,2,0.0,-0.02135236013324182,0.0348444012969801,0.0
15,3,2.5,3,0.6666666666666666,0.02680222378239505,0.07922583041479765,2.4327866881364377
15,4,2.5,3,0.3333333333333333,-0.0017271623051076102,0.07295430514787765,0.927650123596182
15,5,2.5,2,0.0,-0.02135236013324182,0.0348444012969801,0.0
20,3,2.5,3,0.6666666666666666,0.02680222378239505,0.07922583041479765,2.4327866881364377
20,4,2.5,3,0.3333333333333333,-0.0017271623051076102,0.07295430514787765,0.927650123596182
20,5,2.5,2,0.0,-0.02135236013324182,0.0348444012969801,0.0
30,3,2.5,3,0.3333333333333333,0.017301544350009967,0.06799488528596864,2.5558942760800316
30,4,2.5,3,0.3333333333333333,-0.0017271623051076102,0.07295430514787765,0.927650123596182
30,5,2.5,2,0.0,-0.02135236013324182,0.0348444012969801,0.0
45,3,2.5,2,0.0,-0.0218499303335693,0.0526038235392288,0.0
45,4,2.5,2,0.0,-0.023343930333569296,0.05220292395968446,0.0
45,5,2.5,2,0.0,-0.02135236013324182,0.0348444012969801,0.0
30,4,1.5,3,0.3333333333333333,0.010034982003146009,0.10866928147147507,1.3539672749847835
30,4,2.0,3,0.3333333333333333,0.0023085563500166995,0.08652935757047965,1.0896804396674598
30,4,2.5,3,0.3333333333333333,-0.0017271623051076102,0.07295430514787765,0.927650123596182
30,4,3.0,3,0.3333333333333333,-0.00394152278123705,0.06591208040704376,0.8296222838821805
30,4,4.0,3,0.3333333333333333,-0.005596881303119305,0.048008119576008194,0.7036178085617769
