entry_date,direction,entry,lots,stop,exit_date,exit,pnl,pnl_pct,reason
20260518,多,3740.0,15,3612.6796096594558,20260622,3888.034652187562,22145.19782813433,0.03947450593250326,move_stop
20260630,多,4110.0,7,3853.1662838108314,20260724,3843.1662838108314,-18706.360133241804,-0.06502036890247412,hard_stop
20260820,空,3743.0,9,3959.2130504605125,20260910,3800.0,-5166.0,-0.015335292546086027,signal
